Timestamp              ,InitDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2020-08-08 22:28:12.177,252.61          ,59.53       ,400               ,128          ,58
2020-08-08 22:28:11.552,215.13          ,59.21       ,300               ,128          ,58
2020-08-08 22:28:10.959,208.59          ,58.56       ,300               ,128          ,57
2020-08-08 22:28:10.330,229.21          ,60.72       ,300               ,128          ,57
2020-08-08 22:28:09.729,238.62          ,58.74       ,300               ,128          ,58
2020-08-08 22:28:08.948,229.21          ,60.63       ,300               ,128          ,57
2020-08-08 22:28:08.331,200.76          ,49.87       ,300               ,128          ,58
2020-08-08 22:28:07.759,218.28          ,70.98       ,300               ,128          ,57
2020-08-08 22:28:06.986,215.2           ,51.78       ,300               ,128          ,58
2020-08-08 22:28:06.393,272.47          ,66.68       ,400               ,128          ,57
2020-08-08 22:28:05.715,265.68          ,75.13       ,400               ,128          ,58
2020-08-08 22:28:05.088,252.93          ,47.18       ,400               ,128          ,57
2020-08-08 22:28:04.455,203.41          ,62.72       ,300               ,128          ,58
2020-08-08 22:28:03.853,203.38          ,66.06       ,300               ,128          ,58
2020-08-08 22:28:03.273,301.05          ,77.43       ,400               ,128          ,57
2020-08-08 22:28:02.589,237.59          ,30.67       ,300               ,128          ,57
2020-08-08 22:28:01.927,202.15          ,60.11       ,300               ,128          ,57
2020-08-08 22:28:01.314,203.77          ,46.68       ,300               ,128          ,57
2020-08-08 22:28:00.667,205.22          ,45.13       ,300               ,128          ,58
2020-08-08 22:28:00.114,216.54          ,54.81       ,300               ,128          ,58
2020-08-08 22:27:59.502,208.15          ,77.91       ,300               ,128          ,57
2020-08-08 22:27:58.929,231.67          ,69.96       ,400               ,128          ,57
2020-08-08 22:27:58.309,216.15          ,61.88       ,300               ,128          ,58
2020-08-08 22:27:57.714,219.5           ,70.6        ,300               ,128          ,57
2020-08-08 22:27:57.097,218.95          ,52.03       ,300               ,128          ,57
2020-08-08 22:27:56.513,209.88          ,44.16       ,300               ,128          ,58
2020-08-08 22:27:55.856,224.03          ,77.46       ,400               ,128          ,58
2020-08-08 22:27:55.057,212.35          ,71.66       ,300               ,128          ,58
2020-08-08 22:27:54.101,232.32          ,65.48       ,300               ,128          ,58
2020-08-08 22:27:53.471,214.55          ,87.94       ,400               ,128          ,58
2020-08-08 22:27:52.803,210.8           ,43.46       ,300               ,128          ,58
2020-08-08 22:27:52.065,217.98          ,66.31       ,300               ,128          ,58
2020-08-08 22:27:51.468,212.26          ,55.31       ,300               ,128          ,58
2020-08-08 22:27:50.879,205.26          ,49.65       ,300               ,128          ,58
2020-08-08 22:27:50.220,189.7           ,40.94       ,300               ,128          ,58
2020-08-08 22:27:49.569,190.37          ,48.68       ,300               ,128          ,58
2020-08-08 22:27:48.470,220.26          ,65.18       ,300               ,128          ,57
2020-08-08 22:27:47.873,296.72          ,71.9        ,400               ,128          ,58
2020-08-08 22:27:47.067,210.89          ,51.68       ,300               ,128          ,58
2020-08-08 22:27:46.526,249.67          ,64.34       ,400               ,128          ,58
2020-08-08 22:27:45.568,282.9           ,60.29       ,400               ,128          ,57
2020-08-08 22:27:44.924,221.12          ,76.58       ,300               ,128          ,58
2020-08-08 22:27:44.112,188.4           ,46.09       ,300               ,128          ,57
2020-08-08 22:27:43.582,204.57          ,75.79       ,300               ,128          ,57
2020-08-08 22:27:42.904,191.25          ,47.34       ,300               ,128          ,58
2020-08-08 22:27:42.387,234.96          ,62.54       ,300               ,128          ,58
2020-08-08 22:27:41.664,208.62          ,54.23       ,300               ,128          ,57
2020-08-08 22:27:41.071,196.25          ,50.55       ,300               ,128          ,58
2020-08-08 22:27:40.539,213.94          ,60.24       ,300               ,128          ,58
2020-08-08 22:27:39.941,217.33          ,71.8        ,300               ,128          ,58
2020-08-08 22:27:39.331,187.23          ,43.07       ,300               ,128          ,58
2020-08-08 22:27:38.784,215.3           ,62.47       ,300               ,128          ,58
2020-08-08 22:27:38.113,219.67          ,54.69       ,300               ,128          ,58
2020-08-08 22:27:37.413,274.48          ,64.63       ,400               ,128          ,58
2020-08-08 22:27:36.738,293.43          ,59.54       ,400               ,128          ,57
2020-08-08 22:27:35.935,228.66          ,60.63       ,300               ,128          ,57
2020-08-08 22:27:35.285,220.7           ,45.95       ,300               ,128          ,57
2020-08-08 22:27:34.056,220.33          ,50.78       ,300               ,128          ,57
2020-08-08 22:27:33.447,259.19          ,66.75       ,400               ,128          ,58
2020-08-08 22:27:32.769,208.31          ,58.37       ,300               ,128          ,58
2020-08-08 22:27:32.226,229.52          ,49.28       ,300               ,128          ,58
2020-08-08 22:27:31.578,235.34          ,70.46       ,400               ,128          ,58
2020-08-08 22:27:30.899,238.01          ,44.43       ,300               ,128          ,58
2020-08-08 22:27:30.308,219.71          ,74.09       ,300               ,128          ,58
2020-08-08 22:27:29.680,215.71          ,55.45       ,300               ,128          ,58
2020-08-08 22:27:29.058,222.32          ,79.97       ,400               ,128          ,57
2020-08-08 22:27:28.325,262.5           ,79.93       ,400               ,128          ,57
2020-08-08 22:27:27.667,239.75          ,72          ,400               ,128          ,58
2020-08-08 22:27:27.044,213.2           ,64.73       ,300               ,128          ,57
2020-08-08 22:27:26.400,230.76          ,61.52       ,300               ,128          ,58
2020-08-08 22:27:25.805,241.65          ,41.83       ,300               ,128          ,58
2020-08-08 22:27:25.164,290.99          ,44.85       ,400               ,128          ,58
2020-08-08 22:27:24.458,235.6           ,74.41       ,400               ,128          ,57
2020-08-08 22:27:23.812,214.89          ,55.64       ,300               ,128          ,58
2020-08-08 22:27:23.191,258.83          ,93.64       ,400               ,128          ,57
2020-08-08 22:27:22.496,220.42          ,50.63       ,300               ,128          ,57
2020-08-08 22:27:21.762,225.37          ,60.64       ,300               ,128          ,57
2020-08-08 22:27:21.143,246.1           ,51.83       ,300               ,128          ,58
2020-08-08 22:27:20.460,248.26          ,77.82       ,400               ,128          ,57
2020-08-08 22:27:19.008,187.63          ,55.42       ,300               ,128          ,58
2020-08-08 22:27:18.383,233.56          ,76.43       ,400               ,128          ,58
2020-08-08 22:27:17.475,217.06          ,72.99       ,300               ,128          ,57
2020-08-08 22:27:16.615,213.14          ,57.76       ,300               ,128          ,58
2020-08-08 22:27:16.012,223.59          ,74.13       ,300               ,128          ,57
2020-08-08 22:27:15.385,231.61          ,70.44       ,400               ,128          ,57
2020-08-08 22:27:14.739,213.97          ,68.2        ,300               ,128          ,58
2020-08-08 22:27:13.995,196.57          ,42.54       ,300               ,128          ,58
2020-08-08 22:27:13.416,213.4           ,73.17       ,300               ,128          ,58
2020-08-08 22:27:12.833,224.22          ,69.73       ,300               ,128          ,58
2020-08-08 22:27:12.169,209.12          ,77.13       ,300               ,128          ,58
2020-08-08 22:27:11.573,223.5           ,55.29       ,300               ,128          ,58
2020-08-08 22:27:10.861,288.44          ,68.38       ,400               ,128          ,58
2020-08-08 22:27:09.802,221.78          ,79.95       ,400               ,128          ,58
2020-08-08 22:27:09.134,231.12          ,59.53       ,300               ,128          ,58
2020-08-08 22:27:08.500,244.92          ,73.04       ,400               ,128          ,58
2020-08-08 22:27:07.777,236.37          ,46.44       ,300               ,128          ,57
2020-08-08 22:27:07.183,283.16          ,77.91       ,400               ,128          ,58
2020-08-08 22:27:06.463,203.27          ,70          ,300               ,128          ,58
2020-08-08 22:27:05.735,232.44          ,61.48       ,300               ,128          ,57
2020-08-08 22:27:05.065,213.16          ,45.33       ,300               ,128          ,58
2020-08-08 22:27:04.380,237.47          ,59.93       ,300               ,128          ,58
2020-08-08 22:27:03.721,225.54          ,52.06       ,300               ,128          ,57
2020-08-08 22:27:02.741,229.61          ,75.79       ,400               ,128          ,58
2020-08-08 22:27:02.112,361.69          ,51.85       ,500               ,128          ,58
