Timestamp              ,InitDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2020-08-08 20:40:39.365,35.37           ,4757.6      ,4800              ,128          ,72
2020-08-08 20:40:15.893,                ,0.45        ,100               ,128          ,73
2020-08-08 20:34:00.310,19.79           ,4635.13     ,4700              ,128          ,72
2020-08-08 20:33:55.122,28.51           ,4668.83     ,4700              ,128          ,72
2020-08-08 20:33:49.928,21.39           ,4310.12     ,4400              ,128          ,73
2020-08-08 20:33:45.149,25.17           ,4690.43     ,4700              ,128          ,72
2020-08-08 20:33:39.963,24.87           ,4555.73     ,4600              ,128          ,72
2020-08-08 20:33:34.896,27.24           ,4711.76     ,4800              ,128          ,72
2020-08-08 20:33:29.587,22.93           ,4704.34     ,4800              ,128          ,72
2020-08-08 20:33:24.257,26.03           ,4629.25     ,4700              ,128          ,72
2020-08-08 20:33:19.083,25.47           ,4811.9      ,4900              ,128          ,72
2020-08-08 20:33:13.697,21.06           ,4744.67     ,4800              ,128          ,72
2020-08-08 20:33:08.440,27.7            ,4645.23     ,4700              ,128          ,72
2020-08-08 20:33:03.296,28.16           ,4813.62     ,4900              ,128          ,72
2020-08-08 20:32:57.840,26.77           ,4729.4      ,4800              ,128          ,72
2020-08-08 20:32:52.592,25.94           ,4554.95     ,4600              ,128          ,73
2020-08-08 20:32:47.519,21.45           ,4644.36     ,4700              ,128          ,72
2020-08-08 20:32:42.394,27.95           ,4765.14     ,4800              ,128          ,73
2020-08-08 20:32:36.962,36.37           ,4916.75     ,5000              ,128          ,73
2020-08-08 20:32:31.393,24.91           ,4660.38     ,4700              ,128          ,72
2020-08-08 20:32:26.206,26.72           ,4786.32     ,4800              ,128          ,72
2020-08-08 20:32:20.914,25.78           ,4822.64     ,4900              ,128          ,73
2020-08-08 20:32:15.377,21.48           ,4625.68     ,4700              ,128          ,72
2020-08-08 20:32:10.156,23.18           ,4610.22     ,4700              ,128          ,72
2020-08-08 20:32:05.027,27.91           ,4764.05     ,4800              ,128          ,72
2020-08-08 20:31:59.583,24.12           ,4468.26     ,4500              ,128          ,73
2020-08-08 20:31:54.396,24              ,4642.78     ,4700              ,128          ,72
2020-08-08 20:31:49.187,29.77           ,4666.55     ,4700              ,128          ,72
2020-08-08 20:31:44.011,25.73           ,4568.45     ,4600              ,128          ,72
