Timestamp              ,InitDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2020-08-08 22:20:59.985,149.11          ,16.97       ,100               ,128          ,64
2020-08-08 22:20:59.570,169.58          ,29.65       ,100               ,128          ,65
2020-08-08 22:20:59.104,170.53          ,15.76       ,100               ,128          ,65
2020-08-08 22:20:58.563,159.62          ,6.19        ,100               ,128          ,65
2020-08-08 22:20:58.130,153.97          ,17.3        ,100               ,128          ,65
2020-08-08 22:20:57.582,194.42          ,3.56        ,100               ,128          ,65
2020-08-08 22:20:57.057,138.63          ,13.65       ,100               ,128          ,65
2020-08-08 22:20:56.627,155.32          ,17.34       ,100               ,128          ,65
2020-08-08 22:20:56.039,143.91          ,10.54       ,100               ,128          ,65
2020-08-08 22:20:55.575,227.37          ,14.73       ,100               ,128          ,65
2020-08-08 22:20:55.005,141.78          ,19.44       ,100               ,128          ,65
2020-08-08 22:20:54.570,141.15          ,20.89       ,100               ,128          ,65
2020-08-08 22:20:54.095,142.44          ,19.94       ,100               ,128          ,65
2020-08-08 22:20:53.664,126.56          ,4.1         ,100               ,128          ,65
2020-08-08 22:20:53.237,166.49          ,13.63       ,100               ,128          ,64
2020-08-08 22:20:52.804,137.59          ,7.37        ,100               ,128          ,65
2020-08-08 22:20:52.379,145.54          ,19.7        ,100               ,128          ,65
2020-08-08 22:20:51.950,171.36          ,38.77       ,100               ,128          ,65
2020-08-08 22:20:51.425,180.87          ,27.92       ,100               ,128          ,65
2020-08-08 22:20:50.556,127.71          ,2.99        ,100               ,128          ,65
2020-08-08 22:20:50.129,136.97          ,17.15       ,100               ,128          ,64
2020-08-08 22:20:49.518,136.81          ,9.13        ,100               ,128          ,65
2020-08-08 22:20:49.020,244.49          ,26.16       ,100               ,128          ,65
2020-08-08 22:20:48.343,151.58          ,2.79        ,100               ,128          ,65
2020-08-08 22:20:47.812,137.96          ,4.86        ,100               ,128          ,65
2020-08-08 22:20:47.396,182.64          ,4.18        ,100               ,128          ,64
2020-08-08 22:20:46.827,161.03          ,16.93       ,100               ,128          ,65
2020-08-08 22:20:46.375,147.07          ,15.81       ,100               ,128          ,65
2020-08-08 22:20:45.859,161.26          ,18.13       ,100               ,128          ,65
2020-08-08 22:20:45.405,250.52          ,32.69       ,100               ,128          ,65
2020-08-08 22:20:44.637,161.67          ,8.62        ,100               ,128          ,65
2020-08-08 22:20:44.188,156.33          ,3.06        ,100               ,128          ,65
2020-08-08 22:20:43.749,168.61          ,38.25       ,100               ,128          ,65
2020-08-08 22:20:43.272,147.72          ,15.94       ,100               ,128          ,65
2020-08-08 22:20:42.866,144.23          ,37.12       ,100               ,128          ,65
